Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:45:56] (1.93s) | Epoch: 1 | Batch: 51 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 20186.046875
[07/16/24 13:45:57] (1.96s) | Epoch: 1 | Batch: 52 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 19510.005859375
[07/16/24 13:45:57] (1.99s) | Epoch: 1 | Batch: 53 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 20543.8046875
[07/16/24 13:45:57] (2.02s) | Epoch: 1 | Batch: 54 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20809.044921875
[07/16/24 13:45:57] (2.06s) | Epoch: 1 | Batch: 55 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 19813.236328125
[07/16/24 13:45:57] (2.09s) | Epoch: 1 | Batch: 56 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 20897.671875
[07/16/24 13:45:57] (2.12s) | Epoch: 1 | Batch: 57 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 19271.4765625
[07/16/24 13:45:57] (2.15s) | Epoch: 1 | Batch: 58 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19873.4296875
[07/16/24 13:45:57] (2.18s) | Epoch: 1 | Batch: 59 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20787.197265625
[07/16/24 13:45:57] (2.21s) | Epoch: 1 | Batch: 60 (0.020s) | LR: 0.001 | KL Weight: 0 | Loss: 20705.6796875
[07/16/24 13:45:57] (2.25s) | Epoch: 1 | Batch: 61 (0.023s) | LR: 0.001 | KL Weight: 0 | Loss: 20893.9453125
[07/16/24 13:45:57] (2.28s) | Epoch: 1 | Batch: 62 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 20503.564453125
[07/16/24 13:45:57] (2.31s) | Epoch: 1 | Batch: 63 (0.022s) | LR: 0.001 | KL Weight: 0 | Loss: 20361.25390625
[07/16/24 13:45:57] (2.34s) | Epoch: 1 | Batch: 64 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19879.68359375
[07/16/24 13:45:57] (2.38s) | Epoch: 1 | Batch: 65 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20529.33984375
[07/16/24 13:45:57] (2.41s) | Epoch: 1 | Batch: 66 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 20650.8359375
[07/16/24 13:45:57] (2.44s) | Epoch: 1 | Batch: 67 (0.019s) | LR: 0.001 | KL Weight: 0 | Loss: 20291.759765625
[07/16/24 13:45:57] (2.47s) | Epoch: 1 | Batch: 68 (0.021s) | LR: 0.001 | KL Weight: 0 | Loss: 19567.19140625
