Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:24:55] (3.34s) | Epoch: 1 | Batch: 96 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18802.78125
[07/16/24 12:24:55] (3.37s) | Epoch: 1 | Batch: 97 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19093.087890625
[07/16/24 12:24:55] (3.40s) | Epoch: 1 | Batch: 98 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18904.78515625
[07/16/24 12:24:55] (3.43s) | Epoch: 1 | Batch: 99 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19575.78125
[07/16/24 12:24:55] (3.46s) | Epoch: 1 | Batch: 100 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19361.87109375
[07/16/24 12:24:55] (3.49s) | Epoch: 1 | Batch: 101 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19063.30078125
[07/16/24 12:24:55] (3.52s) | Epoch: 1 | Batch: 102 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 17677.896484375
[07/16/24 12:24:55] (3.56s) | Epoch: 1 | Batch: 103 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18776.50390625
[07/16/24 12:24:55] (3.59s) | Epoch: 1 | Batch: 104 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18448.0078125
[07/16/24 12:24:55] (3.62s) | Epoch: 1 | Batch: 105 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18818.521484375
[07/16/24 12:24:55] (3.65s) | Epoch: 1 | Batch: 106 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18449.697265625
[07/16/24 12:24:55] (3.68s) | Epoch: 1 | Batch: 107 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18090.517578125
[07/16/24 12:24:55] (3.71s) | Epoch: 1 | Batch: 108 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18870.759765625
[07/16/24 12:24:55] (3.74s) | Epoch: 1 | Batch: 109 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18470.62109375
[07/16/24 12:24:55] (3.78s) | Epoch: 1 | Batch: 110 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18730.16015625
[07/16/24 12:24:55] (3.81s) | Epoch: 1 | Batch: 111 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18483.052734375
[07/16/24 12:24:55] (3.84s) | Epoch: 1 | Batch: 112 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19363.0703125
[07/16/24 12:24:55] (3.87s) | Epoch: 1 | Batch: 113 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18445.65234375
[07/16/24 12:24:55] (3.90s) | Epoch: 1 | Batch: 114 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19376.833984375
[07/16/24 12:24:55] (3.93s) | Epoch: 1 | Batch: 115 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18088.2890625
[07/16/24 12:24:55] (3.96s) | Epoch: 1 | Batch: 116 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18789.173828125
[07/16/24 12:24:55] (4.00s) | Epoch: 1 | Batch: 117 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18537.359375
[07/16/24 12:24:55] (4.03s) | Epoch: 1 | Batch: 118 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18824.248046875
[07/16/24 12:24:55] (4.06s) | Epoch: 1 | Batch: 119 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17373.201171875
[07/16/24 12:24:55] (4.09s) | Epoch: 1 | Batch: 120 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18568.373046875
[07/16/24 12:24:55] (4.12s) | Epoch: 1 | Batch: 121 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18061.806640625
[07/16/24 12:24:55] (4.15s) | Epoch: 1 | Batch: 122 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18584.158203125
[07/16/24 12:24:55] (4.18s) | Epoch: 1 | Batch: 123 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18001.96875
[07/16/24 12:24:55] (4.21s) | Epoch: 1 | Batch: 124 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17453.84375
[07/16/24 12:24:55] (4.25s) | Epoch: 1 | Batch: 125 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18635.94140625
[07/16/24 12:24:55] (4.28s) | Epoch: 1 | Batch: 126 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18290.12890625
[07/16/24 12:24:56] (4.31s) | Epoch: 1 | Batch: 127 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18230.328125
[07/16/24 12:24:56] (4.34s) | Epoch: 1 | Batch: 128 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 17474.06640625
[07/16/24 12:24:56] (4.37s) | Epoch: 1 | Batch: 129 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17059.876953125
[07/16/24 12:24:56] (4.40s) | Epoch: 1 | Batch: 130 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18122.03515625
[07/16/24 12:24:56] (4.43s) | Epoch: 1 | Batch: 131 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17203.291015625
[07/16/24 12:24:56] (4.46s) | Epoch: 1 | Batch: 132 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 17187.396484375
[07/16/24 12:24:56] (4.50s) | Epoch: 1 | Batch: 133 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16890.6796875
[07/16/24 12:24:56] (4.53s) | Epoch: 1 | Batch: 134 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18023.421875
[07/16/24 12:24:56] (4.56s) | Epoch: 1 | Batch: 135 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17333.728515625
[07/16/24 12:24:56] (4.59s) | Epoch: 1 | Batch: 136 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17025.361328125
[07/16/24 12:24:56] (4.62s) | Epoch: 1 | Batch: 137 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16453.77734375
[07/16/24 12:24:56] (4.65s) | Epoch: 1 | Batch: 138 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 16949.658203125
[07/16/24 12:24:56] (4.68s) | Epoch: 1 | Batch: 139 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 17953.677734375
[07/16/24 12:24:56] (4.71s) | Epoch: 1 | Batch: 140 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16959.970703125
[07/16/24 12:24:56] (4.75s) | Epoch: 1 | Batch: 141 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17459.890625
