Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/15/24 17:18:10] (2.84s) | Epoch: 1 | Batch: 80 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17579.705078125
[07/15/24 17:18:10] (2.88s) | Epoch: 1 | Batch: 81 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18053.478515625
[07/15/24 17:18:10] (2.91s) | Epoch: 1 | Batch: 82 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17434.908203125
[07/15/24 17:18:10] (2.94s) | Epoch: 1 | Batch: 83 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18156.3203125
[07/15/24 17:18:10] (2.97s) | Epoch: 1 | Batch: 84 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18183.3984375
[07/15/24 17:18:10] (3.00s) | Epoch: 1 | Batch: 85 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18563.650390625
[07/15/24 17:18:10] (3.03s) | Epoch: 1 | Batch: 86 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18061.947265625
[07/15/24 17:18:10] (3.06s) | Epoch: 1 | Batch: 87 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17731.294921875
[07/15/24 17:18:10] (3.10s) | Epoch: 1 | Batch: 88 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17475.02734375
[07/15/24 17:18:10] (3.13s) | Epoch: 1 | Batch: 89 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17404.29296875
[07/15/24 17:18:10] (3.16s) | Epoch: 1 | Batch: 90 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18153.875
[07/15/24 17:18:10] (3.19s) | Epoch: 1 | Batch: 91 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17959.689453125
[07/15/24 17:18:10] (3.22s) | Epoch: 1 | Batch: 92 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17832.9453125
[07/15/24 17:18:10] (3.25s) | Epoch: 1 | Batch: 93 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17511.927734375
[07/15/24 17:18:10] (3.28s) | Epoch: 1 | Batch: 94 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18164.623046875
[07/15/24 17:18:10] (3.32s) | Epoch: 1 | Batch: 95 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18523.072265625
[07/15/24 17:18:10] (3.35s) | Epoch: 1 | Batch: 96 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18462.912109375
