Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/15/24 17:14:38] (3.42s) | Epoch: 1 | Batch: 83 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18563.53515625
[07/15/24 17:14:38] (3.45s) | Epoch: 1 | Batch: 84 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18584.240234375
[07/15/24 17:14:38] (3.48s) | Epoch: 1 | Batch: 85 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18500.9609375
[07/15/24 17:14:38] (3.51s) | Epoch: 1 | Batch: 86 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18006.369140625
[07/15/24 17:14:38] (3.54s) | Epoch: 1 | Batch: 87 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17945.740234375
[07/15/24 17:14:38] (3.57s) | Epoch: 1 | Batch: 88 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18111.525390625
[07/15/24 17:14:38] (3.61s) | Epoch: 1 | Batch: 89 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18517.853515625
[07/15/24 17:14:38] (3.64s) | Epoch: 1 | Batch: 90 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18869.78125
[07/15/24 17:14:39] (3.67s) | Epoch: 1 | Batch: 91 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18432.794921875
[07/15/24 17:14:39] (3.70s) | Epoch: 1 | Batch: 92 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17933.640625
[07/15/24 17:14:39] (3.73s) | Epoch: 1 | Batch: 93 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17924.19921875
[07/15/24 17:14:39] (3.76s) | Epoch: 1 | Batch: 94 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18200.02734375
[07/15/24 17:14:39] (3.79s) | Epoch: 1 | Batch: 95 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18736.869140625
[07/15/24 17:14:39] (3.83s) | Epoch: 1 | Batch: 96 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18392.80078125
[07/15/24 17:14:39] (3.86s) | Epoch: 1 | Batch: 97 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17872.875
[07/15/24 17:14:39] (3.89s) | Epoch: 1 | Batch: 98 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17359.646484375
[07/15/24 17:14:39] (3.92s) | Epoch: 1 | Batch: 99 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18774.818359375
[07/15/24 17:14:39] (3.95s) | Epoch: 1 | Batch: 100 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17432.90625
[07/15/24 17:14:39] (3.98s) | Epoch: 1 | Batch: 101 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17488.087890625
[07/15/24 17:14:39] (4.01s) | Epoch: 1 | Batch: 102 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18194.01953125
[07/15/24 17:14:39] (4.04s) | Epoch: 1 | Batch: 103 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17780.44140625
[07/15/24 17:14:39] (4.08s) | Epoch: 1 | Batch: 104 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17017.841796875
[07/15/24 17:14:39] (4.11s) | Epoch: 1 | Batch: 105 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17153.7265625
[07/15/24 17:14:39] (4.14s) | Epoch: 1 | Batch: 106 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17125.62890625
[07/15/24 17:14:39] (4.17s) | Epoch: 1 | Batch: 107 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16884.86328125
[07/15/24 17:14:39] (4.20s) | Epoch: 1 | Batch: 108 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16732.498046875
[07/15/24 17:14:39] (4.24s) | Epoch: 1 | Batch: 109 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16477.576171875
[07/15/24 17:14:39] (4.27s) | Epoch: 1 | Batch: 110 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16533.0390625
[07/15/24 17:14:39] (4.30s) | Epoch: 1 | Batch: 111 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16957.908203125
[07/15/24 17:14:39] (4.33s) | Epoch: 1 | Batch: 112 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16542.673828125
[07/15/24 17:14:39] (4.36s) | Epoch: 1 | Batch: 113 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17380.533203125
[07/15/24 17:14:39] (4.39s) | Epoch: 1 | Batch: 114 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17542.2109375
[07/15/24 17:14:39] (4.42s) | Epoch: 1 | Batch: 115 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16735.916015625
[07/15/24 17:14:39] (4.45s) | Epoch: 1 | Batch: 116 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16776.591796875
[07/15/24 17:14:39] (4.49s) | Epoch: 1 | Batch: 117 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16850.708984375
[07/15/24 17:14:39] (4.52s) | Epoch: 1 | Batch: 118 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16670.544921875
[07/15/24 17:14:39] (4.55s) | Epoch: 1 | Batch: 119 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17151.06640625
[07/15/24 17:14:39] (4.58s) | Epoch: 1 | Batch: 120 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16718.55078125
[07/15/24 17:14:39] (4.61s) | Epoch: 1 | Batch: 121 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16954.966796875
[07/15/24 17:14:39] (4.64s) | Epoch: 1 | Batch: 122 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16388.384765625
[07/15/24 17:14:40] (4.67s) | Epoch: 1 | Batch: 123 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15934.447265625
[07/15/24 17:14:40] (4.70s) | Epoch: 1 | Batch: 124 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16466.388671875
[07/15/24 17:14:40] (4.73s) | Epoch: 1 | Batch: 125 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17335.25
[07/15/24 17:14:40] (4.76s) | Epoch: 1 | Batch: 126 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16738.6328125
[07/15/24 17:14:40] (4.79s) | Epoch: 1 | Batch: 127 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16758.50390625
[07/15/24 17:14:40] (4.83s) | Epoch: 1 | Batch: 128 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15867.7763671875
[07/15/24 17:14:40] (4.86s) | Epoch: 1 | Batch: 129 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15438.0205078125
[07/15/24 17:14:40] (4.89s) | Epoch: 1 | Batch: 130 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16546.087890625
[07/15/24 17:14:40] (4.92s) | Epoch: 1 | Batch: 131 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16285.4580078125
[07/15/24 17:14:40] (4.95s) | Epoch: 1 | Batch: 132 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16950.33203125
[07/15/24 17:14:40] (4.99s) | Epoch: 1 | Batch: 133 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16977.509765625
[07/15/24 17:14:40] (5.02s) | Epoch: 1 | Batch: 134 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15772.4306640625
[07/15/24 17:14:40] (5.05s) | Epoch: 1 | Batch: 135 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16557.3515625
[07/15/24 17:14:40] (5.08s) | Epoch: 1 | Batch: 136 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16449.982421875
[07/15/24 17:14:40] (5.11s) | Epoch: 1 | Batch: 137 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 16199.767578125
[07/15/24 17:14:40] (5.15s) | Epoch: 1 | Batch: 138 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 15696.28125
