Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/13/24 20:37:41] (2.79s) | Epoch: 1 | Batch: 80 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19480.037109375
[07/13/24 20:37:41] (2.82s) | Epoch: 1 | Batch: 81 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19473.12109375
[07/13/24 20:37:41] (2.86s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18947.1640625
[07/13/24 20:37:41] (2.89s) | Epoch: 1 | Batch: 83 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18650.513671875
[07/13/24 20:37:41] (2.92s) | Epoch: 1 | Batch: 84 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18186.16796875
[07/13/24 20:37:42] (2.95s) | Epoch: 1 | Batch: 85 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18451.6484375
[07/13/24 20:37:42] (2.98s) | Epoch: 1 | Batch: 86 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18853.052734375
[07/13/24 20:37:42] (3.01s) | Epoch: 1 | Batch: 87 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19125.15234375
[07/13/24 20:37:42] (3.04s) | Epoch: 1 | Batch: 88 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19664.451171875
[07/13/24 20:37:42] (3.07s) | Epoch: 1 | Batch: 89 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 17946.2109375
[07/13/24 20:37:42] (3.10s) | Epoch: 1 | Batch: 90 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18733.5234375
[07/13/24 20:37:42] (3.14s) | Epoch: 1 | Batch: 91 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19066.8671875
[07/13/24 20:37:42] (3.17s) | Epoch: 1 | Batch: 92 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18529.87890625
[07/13/24 20:37:42] (3.20s) | Epoch: 1 | Batch: 93 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18827.845703125
[07/13/24 20:37:42] (3.23s) | Epoch: 1 | Batch: 94 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18530.830078125
[07/13/24 20:37:42] (3.26s) | Epoch: 1 | Batch: 95 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19180.98828125
[07/13/24 20:37:42] (3.29s) | Epoch: 1 | Batch: 96 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18228.1953125
[07/13/24 20:37:42] (3.32s) | Epoch: 1 | Batch: 97 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18709.751953125
[07/13/24 20:37:42] (3.35s) | Epoch: 1 | Batch: 98 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18233.02734375
[07/13/24 20:37:42] (3.39s) | Epoch: 1 | Batch: 99 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18464.041015625
[07/13/24 20:37:42] (3.42s) | Epoch: 1 | Batch: 100 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19293.650390625
[07/13/24 20:37:42] (3.45s) | Epoch: 1 | Batch: 101 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18663.16015625
[07/13/24 20:37:42] (3.48s) | Epoch: 1 | Batch: 102 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18090.4921875
