Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 12:17:26] (1.93s) | Epoch: 1 | Batch: 48 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19941.8125
[07/16/24 12:17:26] (1.96s) | Epoch: 1 | Batch: 49 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19774.734375
[07/16/24 12:17:26] (2.00s) | Epoch: 1 | Batch: 50 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19478.75
[07/16/24 12:17:27] (2.03s) | Epoch: 1 | Batch: 51 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19342.498046875
[07/16/24 12:17:27] (2.06s) | Epoch: 1 | Batch: 52 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19708.712890625
[07/16/24 12:17:27] (2.10s) | Epoch: 1 | Batch: 53 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19354.66015625
[07/16/24 12:17:27] (2.13s) | Epoch: 1 | Batch: 54 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19756.40234375
[07/16/24 12:17:27] (2.16s) | Epoch: 1 | Batch: 55 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19644.220703125
[07/16/24 12:17:27] (2.20s) | Epoch: 1 | Batch: 56 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19540.09765625
[07/16/24 12:17:27] (2.23s) | Epoch: 1 | Batch: 57 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19134.904296875
[07/16/24 12:17:27] (2.26s) | Epoch: 1 | Batch: 58 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18976.658203125
[07/16/24 12:17:27] (2.30s) | Epoch: 1 | Batch: 59 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19074.658203125
[07/16/24 12:17:27] (2.33s) | Epoch: 1 | Batch: 60 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18978.53125
[07/16/24 12:17:27] (2.36s) | Epoch: 1 | Batch: 61 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20051.55859375
[07/16/24 12:17:27] (2.40s) | Epoch: 1 | Batch: 62 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18971.8828125
[07/16/24 12:17:27] (2.43s) | Epoch: 1 | Batch: 63 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19591.818359375
[07/16/24 12:17:27] (2.46s) | Epoch: 1 | Batch: 64 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18972.197265625
[07/16/24 12:17:27] (2.49s) | Epoch: 1 | Batch: 65 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19273.275390625
[07/16/24 12:17:27] (2.52s) | Epoch: 1 | Batch: 66 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19625.78515625
[07/16/24 12:17:27] (2.56s) | Epoch: 1 | Batch: 67 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19484.02734375
[07/16/24 12:17:27] (2.59s) | Epoch: 1 | Batch: 68 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18877.46875
[07/16/24 12:17:27] (2.62s) | Epoch: 1 | Batch: 69 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19456.611328125
[07/16/24 12:17:27] (2.65s) | Epoch: 1 | Batch: 70 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19442.4609375
[07/16/24 12:17:27] (2.68s) | Epoch: 1 | Batch: 71 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18577.44921875
[07/16/24 12:17:27] (2.71s) | Epoch: 1 | Batch: 72 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18566.974609375
[07/16/24 12:17:27] (2.74s) | Epoch: 1 | Batch: 73 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18605.20703125
[07/16/24 12:17:27] (2.78s) | Epoch: 1 | Batch: 74 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19147.587890625
[07/16/24 12:17:27] (2.81s) | Epoch: 1 | Batch: 75 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18787.857421875
[07/16/24 12:17:27] (2.84s) | Epoch: 1 | Batch: 76 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18968.916015625
[07/16/24 12:17:27] (2.87s) | Epoch: 1 | Batch: 77 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18502.0078125
[07/16/24 12:17:27] (2.90s) | Epoch: 1 | Batch: 78 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18037.701171875
[07/16/24 12:17:27] (2.93s) | Epoch: 1 | Batch: 79 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19230.3203125
[07/16/24 12:17:27] (2.96s) | Epoch: 1 | Batch: 80 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19096.34375
[07/16/24 12:17:27] (3.00s) | Epoch: 1 | Batch: 81 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19410.95703125
[07/16/24 12:17:27] (3.03s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19355.443359375
[07/16/24 12:17:28] (3.06s) | Epoch: 1 | Batch: 83 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19697.81640625
[07/16/24 12:17:28] (3.09s) | Epoch: 1 | Batch: 84 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19049.6875
[07/16/24 12:17:28] (3.12s) | Epoch: 1 | Batch: 85 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18692.025390625
[07/16/24 12:17:28] (3.16s) | Epoch: 1 | Batch: 86 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18581.64453125
[07/16/24 12:17:28] (3.19s) | Epoch: 1 | Batch: 87 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17788.30078125
[07/16/24 12:17:28] (3.22s) | Epoch: 1 | Batch: 88 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18789.712890625
[07/16/24 12:17:28] (3.26s) | Epoch: 1 | Batch: 89 (0.025s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18914.8046875
[07/16/24 12:17:28] (3.30s) | Epoch: 1 | Batch: 90 (0.024s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18195.798828125
[07/16/24 12:17:28] (3.33s) | Epoch: 1 | Batch: 91 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 17995.822265625
[07/16/24 12:17:28] (3.36s) | Epoch: 1 | Batch: 92 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18538.03125
