07/17/24 13:12:41 Training initiated with the following parameters:
Model Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters: (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))

07/17/24 13:12:44 (2.61s) | Epoch: 1 | Batch: 70 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.63s) | Epoch: 1 | Batch: 71 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.65s) | Epoch: 1 | Batch: 72 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.66s) | Epoch: 1 | Batch: 73 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.68s) | Epoch: 1 | Batch: 74 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.70s) | Epoch: 1 | Batch: 75 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.71s) | Epoch: 1 | Batch: 76 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.28
07/17/24 13:12:44 (2.73s) | Epoch: 1 | Batch: 77 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:44 (2.75s) | Epoch: 1 | Batch: 78 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.76s) | Epoch: 1 | Batch: 79 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.78s) | Epoch: 1 | Batch: 80 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.80s) | Epoch: 1 | Batch: 81 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.81s) | Epoch: 1 | Batch: 82 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:44 (2.83s) | Epoch: 1 | Batch: 83 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.85s) | Epoch: 1 | Batch: 84 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.86s) | Epoch: 1 | Batch: 85 (0.004s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:44 (2.88s) | Epoch: 1 | Batch: 86 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.89s) | Epoch: 1 | Batch: 87 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.91s) | Epoch: 1 | Batch: 88 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.27
07/17/24 13:12:44 (2.93s) | Epoch: 1 | Batch: 89 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.95s) | Epoch: 1 | Batch: 90 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.26
07/17/24 13:12:44 (2.96s) | Epoch: 1 | Batch: 91 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (2.98s) | Epoch: 1 | Batch: 92 (0.005s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
07/17/24 13:12:44 (3.00s) | Epoch: 1 | Batch: 93 (0.006s) | LR: 0.001 | KL Weight: 0.1 | Loss: 0.25
