Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01), ('stochastic', True))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 32), ('leak', 0.99), ('drop', 0.01))
[07/16/24 13:24:14] (2.22s) | Epoch: 1 | Batch: 60 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19944.4453125
[07/16/24 13:24:14] (2.25s) | Epoch: 1 | Batch: 61 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20333.806640625
[07/16/24 13:24:14] (2.28s) | Epoch: 1 | Batch: 62 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19472.978515625
[07/16/24 13:24:15] (2.31s) | Epoch: 1 | Batch: 63 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19292.697265625
[07/16/24 13:24:15] (2.34s) | Epoch: 1 | Batch: 64 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19707.66796875
[07/16/24 13:24:15] (2.37s) | Epoch: 1 | Batch: 65 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 20186.26953125
[07/16/24 13:24:15] (2.40s) | Epoch: 1 | Batch: 66 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19368.486328125
[07/16/24 13:24:15] (2.43s) | Epoch: 1 | Batch: 67 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 20333.279296875
[07/16/24 13:24:15] (2.47s) | Epoch: 1 | Batch: 68 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19815.81640625
[07/16/24 13:24:15] (2.50s) | Epoch: 1 | Batch: 69 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19423.958984375
[07/16/24 13:24:15] (2.53s) | Epoch: 1 | Batch: 70 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 19111.841796875
[07/16/24 13:24:15] (2.56s) | Epoch: 1 | Batch: 71 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19543.765625
[07/16/24 13:24:15] (2.59s) | Epoch: 1 | Batch: 72 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19629.943359375
[07/16/24 13:24:15] (2.62s) | Epoch: 1 | Batch: 73 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18688.076171875
[07/16/24 13:24:15] (2.66s) | Epoch: 1 | Batch: 74 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19046.109375
[07/16/24 13:24:15] (2.69s) | Epoch: 1 | Batch: 75 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 17705.845703125
[07/16/24 13:24:15] (2.72s) | Epoch: 1 | Batch: 76 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18626.35546875
[07/16/24 13:24:15] (2.75s) | Epoch: 1 | Batch: 77 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19675.154296875
[07/16/24 13:24:15] (2.78s) | Epoch: 1 | Batch: 78 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18326.365234375
[07/16/24 13:24:15] (2.81s) | Epoch: 1 | Batch: 79 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18908.041015625
[07/16/24 13:24:15] (2.85s) | Epoch: 1 | Batch: 80 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18412.84765625
[07/16/24 13:24:15] (2.88s) | Epoch: 1 | Batch: 81 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19811.982421875
[07/16/24 13:24:15] (2.91s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19483.70703125
[07/16/24 13:24:15] (2.94s) | Epoch: 1 | Batch: 83 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18152.55859375
[07/16/24 13:24:15] (2.97s) | Epoch: 1 | Batch: 84 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18287.595703125
[07/16/24 13:24:15] (3.00s) | Epoch: 1 | Batch: 85 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19104.623046875
[07/16/24 13:24:15] (3.04s) | Epoch: 1 | Batch: 86 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19219.169921875
[07/16/24 13:24:15] (3.07s) | Epoch: 1 | Batch: 87 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19316.248046875
[07/16/24 13:24:15] (3.10s) | Epoch: 1 | Batch: 88 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18628.09765625
[07/16/24 13:24:15] (3.13s) | Epoch: 1 | Batch: 89 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 19074.521484375
[07/16/24 13:24:15] (3.16s) | Epoch: 1 | Batch: 90 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18581.48046875
[07/16/24 13:24:15] (3.19s) | Epoch: 1 | Batch: 91 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17998.314453125
[07/16/24 13:24:15] (3.22s) | Epoch: 1 | Batch: 92 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19270.9140625
[07/16/24 13:24:15] (3.25s) | Epoch: 1 | Batch: 93 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19000.578125
[07/16/24 13:24:16] (3.28s) | Epoch: 1 | Batch: 94 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18747.5078125
[07/16/24 13:24:16] (3.32s) | Epoch: 1 | Batch: 95 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18898.916015625
[07/16/24 13:24:16] (3.35s) | Epoch: 1 | Batch: 96 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19534.220703125
[07/16/24 13:24:16] (3.38s) | Epoch: 1 | Batch: 97 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18686.30078125
[07/16/24 13:24:16] (3.41s) | Epoch: 1 | Batch: 98 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18379.818359375
[07/16/24 13:24:16] (3.44s) | Epoch: 1 | Batch: 99 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18816.64453125
[07/16/24 13:24:16] (3.47s) | Epoch: 1 | Batch: 100 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19028.888671875
[07/16/24 13:24:16] (3.50s) | Epoch: 1 | Batch: 101 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 19070.986328125
[07/16/24 13:24:16] (3.53s) | Epoch: 1 | Batch: 102 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19439.994140625
[07/16/24 13:24:16] (3.57s) | Epoch: 1 | Batch: 103 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18307.41015625
[07/16/24 13:24:16] (3.60s) | Epoch: 1 | Batch: 104 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18537.359375
[07/16/24 13:24:16] (3.63s) | Epoch: 1 | Batch: 105 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 18705.677734375
[07/16/24 13:24:16] (3.66s) | Epoch: 1 | Batch: 106 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18639.8671875
[07/16/24 13:24:16] (3.69s) | Epoch: 1 | Batch: 107 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18661.22265625
[07/16/24 13:24:16] (3.72s) | Epoch: 1 | Batch: 108 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17932.669921875
[07/16/24 13:24:16] (3.76s) | Epoch: 1 | Batch: 109 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18907.298828125
[07/16/24 13:24:16] (3.79s) | Epoch: 1 | Batch: 110 (0.019s) | LR: 0.001 | KL Weight: 1 | Loss: 18937.51171875
[07/16/24 13:24:16] (3.82s) | Epoch: 1 | Batch: 111 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18009.333984375
[07/16/24 13:24:16] (3.85s) | Epoch: 1 | Batch: 112 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18293.705078125
[07/16/24 13:24:16] (3.88s) | Epoch: 1 | Batch: 113 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18702.763671875
[07/16/24 13:24:16] (3.91s) | Epoch: 1 | Batch: 114 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 19098.609375
[07/16/24 13:24:16] (3.95s) | Epoch: 1 | Batch: 115 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18938.82421875
[07/16/24 13:24:16] (3.98s) | Epoch: 1 | Batch: 116 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 19308.140625
[07/16/24 13:24:16] (4.01s) | Epoch: 1 | Batch: 117 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18764.751953125
[07/16/24 13:24:16] (4.04s) | Epoch: 1 | Batch: 118 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18604.154296875
[07/16/24 13:24:16] (4.08s) | Epoch: 1 | Batch: 119 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18179.376953125
[07/16/24 13:24:16] (4.11s) | Epoch: 1 | Batch: 120 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18487.580078125
[07/16/24 13:24:16] (4.14s) | Epoch: 1 | Batch: 121 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18926.205078125
[07/16/24 13:24:16] (4.18s) | Epoch: 1 | Batch: 122 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18580.634765625
[07/16/24 13:24:16] (4.21s) | Epoch: 1 | Batch: 123 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 18561.58203125
[07/16/24 13:24:16] (4.25s) | Epoch: 1 | Batch: 124 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18869.119140625
[07/16/24 13:24:16] (4.28s) | Epoch: 1 | Batch: 125 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17794.201171875
[07/16/24 13:24:17] (4.31s) | Epoch: 1 | Batch: 126 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17689.056640625
[07/16/24 13:24:17] (4.35s) | Epoch: 1 | Batch: 127 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 18018.03515625
[07/16/24 13:24:17] (4.38s) | Epoch: 1 | Batch: 128 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17959.4140625
[07/16/24 13:24:17] (4.41s) | Epoch: 1 | Batch: 129 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 18140.83984375
[07/16/24 13:24:17] (4.44s) | Epoch: 1 | Batch: 130 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17973.6953125
[07/16/24 13:24:17] (4.47s) | Epoch: 1 | Batch: 131 (0.022s) | LR: 0.001 | KL Weight: 1 | Loss: 17857.001953125
[07/16/24 13:24:17] (4.51s) | Epoch: 1 | Batch: 132 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18182.458984375
[07/16/24 13:24:17] (4.54s) | Epoch: 1 | Batch: 133 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 17998.388671875
[07/16/24 13:24:17] (4.58s) | Epoch: 1 | Batch: 134 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 17112.826171875
[07/16/24 13:24:17] (4.61s) | Epoch: 1 | Batch: 135 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 18877.2109375
[07/16/24 13:24:17] (4.64s) | Epoch: 1 | Batch: 136 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 17352.720703125
[07/16/24 13:24:17] (4.68s) | Epoch: 1 | Batch: 137 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 17120.63671875
[07/16/24 13:24:17] (4.71s) | Epoch: 1 | Batch: 138 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 16911.7265625
[07/16/24 13:24:17] (4.75s) | Epoch: 1 | Batch: 139 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 16602.41796875
[07/16/24 13:24:17] (4.78s) | Epoch: 1 | Batch: 140 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 16749.68359375
[07/16/24 13:24:17] (4.81s) | Epoch: 1 | Batch: 141 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17216.060546875
[07/16/24 13:24:17] (4.85s) | Epoch: 1 | Batch: 142 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17401.28515625
[07/16/24 13:24:17] (4.88s) | Epoch: 1 | Batch: 143 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 17556.072265625
[07/16/24 13:24:17] (4.92s) | Epoch: 1 | Batch: 144 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17619.708984375
[07/16/24 13:24:17] (4.95s) | Epoch: 1 | Batch: 145 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 17256.552734375
[07/16/24 13:24:17] (4.98s) | Epoch: 1 | Batch: 146 (0.021s) | LR: 0.001 | KL Weight: 1 | Loss: 16681.220703125
[07/16/24 13:24:17] (5.02s) | Epoch: 1 | Batch: 147 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 18027.359375
[07/16/24 13:24:17] (5.05s) | Epoch: 1 | Batch: 148 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 17485.55859375
[07/16/24 13:24:17] (5.08s) | Epoch: 1 | Batch: 149 (0.023s) | LR: 0.001 | KL Weight: 1 | Loss: 17309.5546875
[07/16/24 13:24:17] (5.12s) | Epoch: 1 | Batch: 150 (0.024s) | LR: 0.001 | KL Weight: 1 | Loss: 17180.32421875
[07/16/24 13:24:17] (5.16s) | Epoch: 1 | Batch: 151 (0.020s) | LR: 0.001 | KL Weight: 1 | Loss: 15804.2314453125
