Model Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01), ('stochastic', False))
Encoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
Decoder Parameters:  (('image_channels', 1), ('init_channels', 8), ('kernel_size', 14), ('padding', 12), ('latent_dim', 16), ('leak', 0.99), ('drop', 0.01))
[07/16/24 21:02:24] (2.50s) | Epoch: 1 | Batch: 69 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18588.310546875
[07/16/24 21:02:24] (2.53s) | Epoch: 1 | Batch: 70 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20326.986328125
[07/16/24 21:02:24] (2.56s) | Epoch: 1 | Batch: 71 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19348.958984375
[07/16/24 21:02:24] (2.59s) | Epoch: 1 | Batch: 72 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19570.03515625
[07/16/24 21:02:24] (2.62s) | Epoch: 1 | Batch: 73 (0.023s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19291.5546875
[07/16/24 21:02:24] (2.65s) | Epoch: 1 | Batch: 74 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20210.310546875
[07/16/24 21:02:24] (2.68s) | Epoch: 1 | Batch: 75 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19548.771484375
[07/16/24 21:02:24] (2.72s) | Epoch: 1 | Batch: 76 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19585.828125
[07/16/24 21:02:24] (2.75s) | Epoch: 1 | Batch: 77 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19686.75
[07/16/24 21:02:24] (2.78s) | Epoch: 1 | Batch: 78 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19282.29296875
[07/16/24 21:02:24] (2.81s) | Epoch: 1 | Batch: 79 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19593.6875
[07/16/24 21:02:24] (2.84s) | Epoch: 1 | Batch: 80 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 20159.375
[07/16/24 21:02:24] (2.87s) | Epoch: 1 | Batch: 81 (0.022s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18989.6796875
[07/16/24 21:02:24] (2.90s) | Epoch: 1 | Batch: 82 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 18753.408203125
[07/16/24 21:02:24] (2.93s) | Epoch: 1 | Batch: 83 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19070.126953125
[07/16/24 21:02:24] (2.97s) | Epoch: 1 | Batch: 84 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19244.802734375
[07/16/24 21:02:24] (3.00s) | Epoch: 1 | Batch: 85 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 21207.564453125
[07/16/24 21:02:24] (3.03s) | Epoch: 1 | Batch: 86 (0.021s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19185.310546875
[07/16/24 21:02:24] (3.06s) | Epoch: 1 | Batch: 87 (0.019s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19372.787109375
[07/16/24 21:02:24] (3.09s) | Epoch: 1 | Batch: 88 (0.020s) | LR: 0.001 | KL Weight: 0.1 | Loss: 19265.88671875
